companyId,companyName,companyCEO,address,longitude,latitude,email,headOfficeAddress
1,99x,,,,,,
2,Aasa IT Solutions,,,,,,
3,AdroitLogic,,,,,,
4,Arimac Lanka,,,,,,
5,AtLink,,,,,,
6,Atrenta,,,,,,
7,CodeConnexion,,,,,,
8,Codegen,,,,,,
9,Creo360,,,,,,
10,DirectFN,,,,,,
11,Ellipsis,,,,,,
12,Embla,,,,,,
13,hSenid,,,,,,
14,IronOne,,,,,,
15,Leapset,,,,,,
16,Mazarin,,,,,,
17,MIT,,,,,,
18,Navantis,,,,,,
19,Omobio,,,,,,
20,OrangeHRM,,,,,,
21,Pearson Lanka,,,,,,
22,Proavos,,,,,,
23,SimCentric,,,,,,
24,Sutra Technologies,,,,,,
25,Virtusa,,,,,,
26,Wavenet,,,,,,
27,Zaizi,,,,,,
28,Zone24X7,,,,,,
29,WSO2,,,,,,
30,Codegen,,,,,,
31,Creo360,,,,,,
32,DirectFN,,,,,,
33,Ellipsis,,,,,,
34,Embla,,,,,,
35,hSenid,,,,,,
36,IronOne,,,,,,
37,Leapset,,,,,,
38,MIT,,,,,,
39,Navantis,,,,,,
40,Omobio,,,,,,
41,OrangeHRM,,,,,,
42,Pearson Lanka,,,,,,
43,Proavos,,,,,,
44,SimCentric,,,,,,
45,Sutra Technologies,,,,,,
46,Virtusa,,,,,,
47,IFS,,,,,,
